Language,basicness_score_experimental,basicness_rank,basicness_score,word_in_children_res,word_in_second_lang_learn_res,en_lemmas,n_hyponyms,n_synonyms,n_syn_senses,avg_word_length,avg_word_frequency,avg_n_senses,normalized_length,normalized_n_senses,normalized_frequency,normalized_n_hyponyms,normalized_n_synonyms,normalized_n_syn_senses,example_en_lemma,example_en_gloss,ili
es,0.42286182597546024,2,0.0036286746257019006,0,0,"break of day, morning, first light",0,2,4,6.0,1.91e-05,2.0,0.33333333333330556,0.076923076923071,0.02229709892369325,0.0,0.2499999999999375,0.21428571428569898,break of day,the first light of day,i116932
nb,0.4077634797733322,2,0.0003114772737431783,0,0,"break of day, morning, first light",0,1,1,6.0,1.29e-06,1.0,0.37499999999995315,0.0,0.0017812173673661935,0.0,0.0,0.0,break of day,the first light of day,i116932
en,0.7038985495950366,4,0.45130763098465976,0,1,"dusk, fall, twilight",1,9,22,5.333333333333333,4.812e-05,5.333333333333333,0.23333333333330997,0.6190476190475306,0.0992654399607966,0.004999999999999975,0.7272727272726611,0.9999999999999525,dusk,the time of day immediately following sunset,i116935
it,0.3691851106220295,2,0.0,0,0,"dusk, fall, twilight",0,2,4,9.5,1.034e-06,2.0,0.5357142857142474,0.03225806451612695,0.0,0.0,0.09090909090908264,0.031249999999999514,dusk,the time of day immediately following sunset,i116935
es,0.3454977507481334,2,0.0,0,0,"dusk, fall, twilight",1,3,6,9.666666666666666,1.6299999999999999e-06,2.0,0.6388888888888355,0.076923076923071,0.0,0.027027027027026296,0.499999999999875,0.3571428571428316,dusk,the time of day immediately following sunset,i116935
nb,0.32082130082462745,2,0.0,0,0,"dusk, fall, twilight",0,1,1,9.0,5.75e-08,1.0,0.7499999999999063,0.0,0.0,0.0,0.0,0.0,dusk,the time of day immediately following sunset,i116935
en,0.8021838882064356,4,0.7057457706098217,0,1,"time of year, season",8,2,4,9.0,0.000454,2.0,0.59999999999994,0.14285714285712245,0.9999999977807861,0.0399999999999998,0.09090909090908264,0.14285714285713608,time of year,one of the natural periods into which the year is divided by the equinoxes and solstices or atmospheric conditions,i117307
it,0.6694214698512542,3,0.47757568693431984,0,1,"time of year, season",11,1,5,8.0,0.000129,5.0,0.42857142857139796,0.22580645161288865,0.13414104891144857,0.15068493150684725,0.0,0.04687499999999927,time of year,one of the natural periods into which the year is divided by the equinoxes and solstices or atmospheric conditions,i117307
es,0.6411523336901892,3,0.5078451654612763,0,1,"time of year, season",5,1,3,8.0,6.46e-05,3.0,0.4999999999999583,0.153846153846142,0.08036910814109698,0.13513513513513148,0.0,0.14285714285713266,time of year,one of the natural periods into which the year is divided by the equinoxes and solstices or atmospheric conditions,i117307
nb,0.40764656782188263,2,0.0002268161080604483,0,0,"time of year, season",5,1,1,6.0,9.55e-07,1.0,0.37499999999995315,0.0,0.0012970730930719342,0.9999999999997999,0.0,0.0,time of year,one of the natural periods into which the year is divided by the equinoxes and solstices or atmospheric conditions,i117307
it,0.856404327691992,4,0.9124458551555701,1,1,"summertime, summer",0,1,2,6.0,6.92e-05,2.0,0.2857142857142653,0.03225806451612695,0.07145537674146103,0.0,0.0,0.0,summertime,the warmest season of the year; in the northern hemisphere it extends from the summer solstice to the autumnal equinox,i117310
es,0.8551716179842602,4,0.9942049214616134,1,1,"summertime, summer",0,1,1,6.0,8.71e-05,1.0,0.33333333333330556,0.0,0.10908603577607684,0.0,0.0,0.0,summertime,the warmest season of the year; in the northern hemisphere it extends from the summer solstice to the autumnal equinox,i117310
nb,0.8547469408936987,4,0.9583903006659596,1,1,"summertime, summer",0,1,1,6.0,0.000102,1.0,0.37499999999995315,0.0,0.14732799308132108,0.0,0.0,0.0,summertime,the warmest season of the year; in the northern hemisphere it extends from the summer solstice to the autumnal equinox,i117310
en,0.8433126238859728,4,0.9225608299244239,1,1,"summertime, summer",0,2,3,8.0,8.589e-05,1.5,0.49999999999995,0.07142857142856122,0.18308515083312588,0.0,0.09090909090908264,0.09523809523809071,summertime,the warmest season of the year; in the northern hemisphere it extends from the summer solstice to the autumnal equinox,i117310
nb,0.8495638439000113,4,0.9426558896438785,1,1,"festivity, celebration",1,3,13,5.666666666666667,4.47e-05,4.333333333333333,0.3333333333332917,0.37037037037032916,0.06451764407516862,0.19999999999996,0.6666666666664445,0.9999999999999166,festivity,any joyous diversion,i37653
it,0.36623433415914336,2,0.0012913851215168588,0,0,"festivity, celebration",3,2,7,9.75,5.961749999999999e-06,3.0,0.5535714285713891,0.09677419354838085,0.005165540485546087,0.04109589041095835,0.09090909090908264,0.07812499999999879,festivity,any joyous diversion,i37653
es,0.36262749915184517,2,0.005512334786654053,0,0,"festivity, celebration",3,2,5,9.0,1.6795e-05,2.5,0.5833333333332847,0.11538461538460651,0.019355209225976427,0.08108108108107888,0.2499999999999375,0.2857142857142653,festivity,any joyous diversion,i37653
en,0.33503469657621643,2,0.004476838327653693,0,0,"festivity, celebration",7,2,4,10.0,9.923499999999999e-06,2.0,0.69999999999993,0.14285714285712245,0.014499234339008822,0.03499999999999982,0.09090909090908264,0.14285714285713608,festivity,any joyous diversion,i37653
es,0.8595263666259341,4,0.9999999999995117,1,1,"soccer, association football",0,1,2,6.0,0.000115,2.0,0.33333333333330556,0.076923076923071,0.14469502604345186,0.0,0.0,0.07142857142856633,soccer,a football game in which two teams of 11 players try to kick or head a ball into the opponents' goal,i37904
nb,0.8567995084623686,4,0.9999999999995336,1,1,"soccer, association football",0,1,1,7.0,0.0002,1.0,0.4999999999999375,0.0,0.2889582583972537,0.0,0.0,0.0,soccer,a football game in which two teams of 11 players try to kick or head a ball into the opponents' goal,i37904
it,0.8452680767577606,4,0.912113321494883,1,1,"soccer, association football",0,3,14,7.0,5.36e-05,4.666666666666667,0.3571428571428316,0.20430107526880403,0.055102592697116475,0.0,0.18181818181816528,0.18749999999999709,soccer,a football game in which two teams of 11 players try to kick or head a ball into the opponents' goal,i37904
en,0.2868432368208868,2,0.039360585368803644,0,0,"soccer, association football",0,2,2,13.0,4.36e-05,1.0,0.9999999999999,0.0,0.08923459290909082,0.0,0.09090909090908264,0.047619047619045354,soccer,a football game in which two teams of 11 players try to kick or head a ball into the opponents' goal,i37904
it,0.7064138109512619,4,0.4605466767192764,0,1,"athletics, sport",20,1,2,5.0,8.91e-05,2.0,0.21428571428569898,0.03225806451612695,0.09231565895187495,0.2739726027397223,0.0,0.0,athletics,an active diversion requiring physical exertion and competition,i38140
nb,0.680482913711545,4,0.4762945577087305,0,1,"athletics, sport",1,2,2,5.5,4.7449999999999995e-05,1.0,0.3124999999999609,0.0,0.06849196274474835,0.19999999999996,0.33333333333322224,0.08333333333332639,athletics,an active diversion requiring physical exertion and competition,i38140
en,0.6591249785820751,3,0.4515709485042869,0,1,"athletics, sport",20,2,10,7.0,3.0155e-05,5.0,0.39999999999996,0.5714285714284898,0.05939726135816502,0.0999999999999995,0.09090909090908264,0.4285714285714082,athletics,an active diversion requiring physical exertion and competition,i38140
es,0.6556101522889518,3,0.5005249842651516,0,1,"athletics, sport",8,1,2,7.0,4.9e-05,2.0,0.41666666666663194,0.076923076923071,0.06045870498084426,0.21621621621621037,0.0,0.07142857142856633,athletics,an active diversion requiring physical exertion and competition,i38140
es,0.8554222493762776,4,0.596720691632911,0,1,"squealer, pig, hog",1,5,10,4.666666666666667,0.00078514,2.6666666666666665,0.22222222222220372,0.12820512820511834,0.9999999987236922,0.027027027027026296,0.99999999999975,0.6428571428570969,squealer,domestic swine,i48199
nb,0.7092072079023642,4,0.46727761706373316,0,1,"squealer, pig, hog",0,1,2,4.0,1.15e-05,2.0,0.12499999999998437,0.11111111111109877,0.016536778682424074,0.0,0.0,0.08333333333332639,squealer,domestic swine,i48199
it,0.6646949063224367,3,0.45244262699852944,0,1,"squealer, pig, hog",0,3,10,6.5,6.48675e-06,3.0,0.32142857142854847,0.09677419354838085,0.005715874563961531,0.0,0.18181818181816528,0.12499999999999806,squealer,domestic swine,i48199
en,0.4597880881653182,3,0.00040219276743217716,0,0,"squealer, pig, hog",1,5,15,4.666666666666667,5.855233333333334e-06,3.6666666666666665,0.16666666666665003,0.38095238095232653,0.005470880202087068,0.004999999999999975,0.36363636363633056,0.666666666666635,squealer,domestic swine,i48199
en,0.8878218083094486,4,0.889622646958125,1,1,fish,13,1,4,4.0,7.94e-05,4.0,0.09999999999999,0.4285714285713673,0.16868245230091997,0.06499999999999968,0.0,0.14285714285713608,fish,any of various mostly cold-blooded aquatic vertebrates usually having scales and breathing through gills,i48880
nb,0.8753436727053263,4,0.9369440689591559,1,1,fish,0,1,2,4.0,5.13e-05,2.0,0.12499999999998437,0.11111111111109877,0.07405600888215999,0.0,0.0,0.08333333333332639,fish,any of various mostly cold-blooded aquatic vertebrates usually having scales and breathing through gills,i48880
it,0.6957825377892518,4,0.45563678374268723,1,0,fish,3,1,5,5.0,4.07e-05,5.0,0.21428571428569898,0.22580645161288865,0.041580098198908455,0.04109589041095835,0.0,0.04687499999999927,fish,any of various mostly cold-blooded aquatic vertebrates usually having scales and breathing through gills,i48880
es,0.6898691285744543,4,0.4890235448567564,1,0,fish,2,2,3,4.5,7.7734e-06,1.5,0.20833333333331597,0.0384615384615355,0.007840869921454902,0.05405405405405259,0.2499999999999375,0.14285714285713266,fish,any of various mostly cold-blooded aquatic vertebrates usually having scales and breathing through gills,i48880
nb,0.8881837512384221,4,0.9326274025089099,1,1,boat,2,1,1,3.0,5.01e-05,1.0,0.0,0.0,0.07232176073543428,0.39999999999992,0.0,0.0,boat,a small vessel for travel on water,i50885
en,0.8814593075617563,4,0.8868720066973358,1,1,boat,26,1,2,4.0,5.13e-05,2.0,0.09999999999999,0.14285714285712245,0.10632254032018255,0.12999999999999937,0.0,0.047619047619045354,boat,a small vessel for travel on water,i50885
es,0.8360402792148476,4,0.9798591595374496,1,1,boat,8,3,12,6.666666666666667,1.5689999999999997e-05,4.0,0.3888888888888565,0.23076923076921302,0.01794488900212519,0.21621621621621037,0.499999999999875,0.7857142857142296,boat,a small vessel for travel on water,i50885
it,0.6626246375472944,3,0.4528692692895103,1,0,boat,19,3,9,6.666666666666667,8.995666666666666e-06,3.0,0.33333333333330956,0.09677419354838085,0.008345859976477993,0.26027397260273616,0.18181818181816528,0.1093749999999983,boat,a small vessel for travel on water,i50885
nb,0.7173055858180426,4,0.469585792128118,0,1,"passenger vehicle, bus, coach",0,1,1,4.0,3.89e-05,1.0,0.12499999999998437,0.0,0.05613544469932769,0.0,0.0,0.0,passenger vehicle,a vehicle carrying many passengers; used for public transport,i51285
es,0.6473222829854866,3,0.4930993907981313,0,1,"passenger vehicle, bus, coach",2,1,1,7.0,2.04e-05,1.0,0.41666666666663194,0.0,0.023956299187047645,0.05405405405405259,0.0,0.0,passenger vehicle,a vehicle carrying many passengers; used for public transport,i51285
en,0.6431621734548683,3,0.46989702126432786,0,1,"passenger vehicle, bus, coach",3,10,18,8.333333333333334,5.856666666666666e-05,3.3333333333333335,0.53333333333328,0.33333333333328574,0.1224488283531609,0.014999999999999925,0.8181818181817438,0.809523809523771,passenger vehicle,a vehicle carrying many passengers; used for public transport,i51285
it,0.40101132542408474,2,0.0017549120300979035,0,0,"passenger vehicle, bus, coach",3,7,9,7.75,1.0059725e-05,1.5,0.4107142857142564,0.0,0.009461264856964226,0.04109589041095835,0.5454545454544959,0.1093749999999983,passenger vehicle,a vehicle carrying many passengers; used for public transport,i51285
es,0.6274162665081772,3,0.49338862545275586,0,1,cathedral,0,1,2,8.0,1.82e-05,2.0,0.4999999999999583,0.076923076923071,0.021148421818294055,0.0,0.0,0.07142857142856633,cathedral,any large and important church,i51645
it,0.4070755279205341,2,0.002978668405797374,0,0,cathedral,0,2,3,7.5,1.705e-05,1.5,0.3928571428571148,0.0,0.016788858285527095,0.0,0.09090909090908264,0.015624999999999757,cathedral,any large and important church,i51645
en,0.3575895946445758,2,0.0037471355581144075,0,0,cathedral,2,1,2,9.0,9.77e-06,2.0,0.59999999999994,0.14285714285712245,0.014158584997761734,0.00999999999999995,0.0,0.047619047619045354,cathedral,any large and important church,i51645
nb,0.348970939024749,2,0.00041804083054780854,0,0,cathedral,0,1,1,8.0,1.05e-06,1.0,0.6249999999999218,0.0,0.0014343677380210525,0.0,0.0,0.0,cathedral,any large and important church,i51645
it,0.7136992037871518,4,0.4773074688138631,0,1,"church, church building",4,1,4,6.0,0.000191,4.0,0.2857142857142653,0.16129032258063475,0.1991328829338437,0.05479452054794446,0.0,0.031249999999999514,church,a place for public (especially Christian) worship,i51914
es,0.6791189044527807,4,0.5220747834876227,0,1,"church, church building",3,1,4,7.0,0.000132,4.0,0.41666666666663194,0.23076923076921302,0.16639226025654777,0.08108108108107888,0.0,0.21428571428569898,church,a place for public (especially Christian) worship,i51914
en,0.6213935295123312,3,0.5222961744126211,0,1,"church, church building",5,2,5,10.5,0.000114,2.5,0.749999999999925,0.21428571428568366,0.24546725495335822,0.024999999999999876,0.09090909090908264,0.19047619047618142,church,a place for public (especially Christian) worship,i51914
nb,0.5930584842244124,3,0.4797715786793255,0,1,"church, church building",1,3,3,8.333333333333334,3.0011833333333333e-05,1.0,0.6666666666665834,0.0,0.04329020589144781,0.19999999999996,0.6666666666664445,0.16666666666665278,church,a place for public (especially Christian) worship,i51914
nb,0.8546200049008092,4,0.9351112179020991,1,1,"diadem, crown",0,1,1,5.0,1.48e-05,1.0,0.24999999999996875,0.0,0.021305961085919766,0.0,0.0,0.0,diadem,an ornamental jeweled headdress signifying sovereignty,i52549
en,0.4459686665859128,3,0.0036420287972595135,0,0,"diadem, crown",1,2,13,5.5,1.82725e-05,6.5,0.249999999999975,0.7857142857141735,0.03302745160332116,0.004999999999999975,0.09090909090908264,0.5714285714285443,diadem,an ornamental jeweled headdress signifying sovereignty,i52549
es,0.4261045172014442,2,0.005788847270653232,0,0,"diadem, crown",0,1,6,6.0,2.95e-05,6.0,0.33333333333330556,0.38461538461535505,0.03557070103052839,0.0,0.0,0.3571428571428316,diadem,an ornamental jeweled headdress signifying sovereignty,i52549
it,0.42336027049949543,2,0.0018049943333150714,0,0,"diadem, crown",1,2,14,6.5,1.2896e-05,7.0,0.32142857142854847,0.35483870967739645,0.012434405406026623,0.013698630136986115,0.09090909090908264,0.18749999999999709,diadem,an ornamental jeweled headdress signifying sovereignty,i52549
en,0.7344261888395192,4,0.4462605487125495,0,1,farm,13,1,1,4.0,5.62e-05,1.0,0.09999999999999,0.0,0.11719668867269548,0.06499999999999968,0.0,0.0,farm,workplace consisting of farm buildings and cultivated land as a unit,i53601
nb,0.5947938073887217,3,0.4688838906926327,0,1,farm,1,3,5,8.0,6.159566666666667e-06,1.6666666666666667,0.6249999999999218,0.07407407407406585,0.008818748173219478,0.19999999999996,0.6666666666664445,0.33333333333330556,farm,workplace consisting of farm buildings and cultivated land as a unit,i53601
es,0.3881603700101755,2,0.003958701002013909,0,0,farm,4,4,15,7.666666666666667,1.5083333333333333e-05,4.333333333333333,0.4722222222221829,0.2564102564102367,0.017170595545893143,0.10810810810810519,0.7499999999998125,0.9999999999999286,farm,workplace consisting of farm buildings and cultivated land as a unit,i53601
it,0.378953912049916,2,0.0013569384202930502,0,0,farm,9,4,12,9.0,6.7666666666666665e-06,3.6666666666666665,0.4999999999999643,0.1397849462365501,0.006009298717834145,0.12328767123287503,0.27272727272724795,0.15624999999999759,farm,workplace consisting of farm buildings and cultivated land as a unit,i53601
nb,0.6833031555485507,4,0.46852794875691317,0,1,guitar,0,1,1,5.0,1.32e-05,1.0,0.24999999999996875,0.0,0.018993630223618826,0.0,0.0,0.0,guitar,a stringed instrument usually having six strings; played by strumming or plucking,i54496
es,0.6275356012375198,3,0.49351325079765684,0,1,guitar,1,1,2,8.0,1.86e-05,2.0,0.4999999999999583,0.076923076923071,0.021658944976249258,0.027027027027026296,0.0,0.07142857142856633,guitar,a stringed instrument usually having six strings; played by strumming or plucking,i54496
en,0.4401624290609575,3,0.007873095949298376,0,0,guitar,6,1,1,6.0,3.02e-05,1.0,0.29999999999997,0.0,0.05949712598589218,0.02999999999999985,0.0,0.0,guitar,a stringed instrument usually having six strings; played by strumming or plucking,i54496
it,0.3989999690428516,2,0.003665377128721417,0,0,guitar,2,1,2,8.0,1.91e-05,2.0,0.42857142857139796,0.03225806451612695,0.018937781829815967,0.02739726027397223,0.0,0.0,guitar,a stringed instrument usually having six strings; played by strumming or plucking,i54496
es,0.6295710816044329,3,0.4888253184372151,0,1,"inn, lodge, hostel",1,5,8,7.666666666666667,3.6666666666666666e-06,2.0,0.4722222222221829,0.076923076923071,0.002599413745921881,0.027027027027026296,0.99999999999975,0.4999999999999643,inn,a hotel providing overnight lodging for travelers,i54942
nb,0.5007524102165497,3,0.0,0,0,"inn, lodge, hostel",0,1,1,3.0,2.14e-06,1.0,0.0,0.0,0.0030096431379635687,0.0,0.0,0.0,inn,a hotel providing overnight lodging for travelers,i54942
en,0.4614098703513426,3,0.0008820756233689728,0,0,"inn, lodge, hostel",4,5,11,4.666666666666667,8.796666666666667e-06,3.0,0.16666666666665003,0.2857142857142449,0.011998550086922431,0.0199999999999999,0.36363636363633056,0.47619047619045357,inn,a hotel providing overnight lodging for travelers,i54942
it,0.4122293315095598,2,0.0003848111713056728,0,0,"inn, lodge, hostel",1,1,2,7.0,3.31e-06,2.0,0.3571428571428316,0.03225806451612695,0.002385829261854375,0.013698630136986115,0.0,0.0,inn,a hotel providing overnight lodging for travelers,i54942
nb,0.679849859360811,4,0.4666729847088199,0,1,"boiler, kettle",0,1,1,5.0,2.19e-06,1.0,0.24999999999996875,0.0,0.003081903477410474,0.0,0.0,0.0,boiler,a metal pot for stewing or boiling; usually has a lid,i55356
en,0.426051237068079,2,0.00026723302177775144,0,0,"boiler, kettle",1,2,6,6.0,4.2999999999999995e-06,3.0,0.29999999999997,0.2857142857142449,0.002019484694038114,0.004999999999999975,0.09090909090908264,0.23809523809522679,boiler,a metal pot for stewing or boiling; usually has a lid,i55356
es,0.3982135278388809,2,0.0007633302375188602,0,0,"boiler, kettle",0,1,1,7.0,4.57e-06,1.0,0.41666666666663194,0.0,0.0037523452109707025,0.0,0.0,0.0,boiler,a metal pot for stewing or boiling; usually has a lid,i55356
it,0.3948068411093295,2,0.0002749134290610826,0,0,"boiler, kettle",0,2,6,8.0,2.389e-06,3.0,0.42857142857139796,0.09677419354838085,0.0014203860500055703,0.0,0.09090909090908264,0.06249999999999903,boiler,a metal pot for stewing or boiling; usually has a lid,i55356
en,0.6958202929772739,4,0.44963424325305146,0,1,"horse, knight",0,2,7,5.5,3.83e-05,3.5,0.249999999999975,0.35714285714280614,0.07747275897678091,0.0,0.09090909090908264,0.28571428571427215,horse,a chessman shaped to resemble the head of a horse; can move two squares horizontally and one vertically (or vice versa),i55427
nb,0.6562019907092309,3,0.47005837833655595,0,1,"horse, knight",0,2,3,6.0,1.4874999999999999e-05,1.5,0.37499999999995315,0.055555555555549384,0.02141435159509012,0.0,0.33333333333322224,0.16666666666665278,horse,a chessman shaped to resemble the head of a horse; can move two squares horizontally and one vertically (or vice versa),i55427
it,0.42331773569853065,2,0.007737815494716794,0,0,"horse, knight",0,1,7,7.0,4.68e-05,7.0,0.3571428571428316,0.35483870967739645,0.047974456062402165,0.0,0.0,0.07812499999999879,horse,a chessman shaped to resemble the head of a horse; can move two squares horizontally and one vertically (or vice versa),i55427
es,0.4079571011368266,2,0.009001584807747915,0,0,"horse, knight",0,1,8,7.0,3.63e-05,8.0,0.41666666666663194,0.538461538461497,0.04424959471576674,0.0,0.0,0.4999999999999643,horse,a chessman shaped to resemble the head of a horse; can move two squares horizontally and one vertically (or vice versa),i55427
es,0.6074948505989914,3,0.4939582671334076,0,1,"memorial, monument",8,1,3,9.0,1.74e-05,3.0,0.5833333333332847,0.153846153846142,0.020127375502383662,0.21621621621621037,0.0,0.14285714285713266,memorial,a structure erected to commemorate persons or events,i56131
en,0.3845698643446212,2,0.006573149235302573,0,0,"memorial, monument",12,2,6,8.0,1.682e-05,3.0,0.49999999999995,0.2857142857142449,0.029804043341683403,0.0599999999999997,0.09090909090908264,0.23809523809522679,memorial,a structure erected to commemorate persons or events,i56131
it,0.27095273177535306,2,0.004609077495048193,0,0,"memorial, monument",9,2,4,16.0,1.077e-05,2.0,0.9999999999999286,0.03225806451612695,0.010205814452290947,0.12328767123287503,0.09090909090908264,0.031249999999999514,memorial,a structure erected to commemorate persons or events,i56131
nb,0.26931736891234515,2,0.0008912588387296351,0,0,"memorial, monument",0,1,1,11.0,1.38e-06,1.0,0.999999999999875,0.0,0.0019112859783706215,0.0,0.0,0.0,memorial,a structure erected to commemorate persons or events,i56131
es,0.6061549974622742,3,0.49235890854051095,0,1,monastery,3,2,3,9.0,1.3000000000000001e-05,1.5,0.5833333333332847,0.0384615384615355,0.014511620764876491,0.08108108108107888,0.2499999999999375,0.14285714285713266,monastery,the residence of a religious community,i56337
it,0.3891957657038134,2,0.002849868251886714,0,0,monastery,2,2,10,8.5,1.4e-05,5.0,0.4642857142856811,0.22580645161288865,0.01359167935378024,0.02739726027397223,0.09090909090908264,0.12499999999999806,monastery,the residence of a religious community,i56337
nb,0.37918672602580816,2,0.0016317281385815723,0,0,monastery,1,1,2,7.0,4.9e-06,2.0,0.4999999999999375,0.11111111111109877,0.006998413875432693,0.19999999999996,0.0,0.08333333333332639,monastery,the residence of a religious community,i56337
en,0.3548922238766142,2,0.0006343113483955425,0,0,monastery,4,1,1,9.0,4.47e-06,1.0,0.59999999999994,0.0,0.00239675106545183,0.0199999999999999,0.0,0.0,monastery,the residence of a religious community,i56337
en,0.42577992541091503,2,0.00012040169113063534,0,0,mosaic,0,1,6,6.0,3.8e-06,6.0,0.29999999999997,0.7142857142856123,0.0009098777192918981,0.0,0.0,0.23809523809522679,mosaic,art consisting of a design made of small pieces of colored stone or glass,i56381
it,0.41205536041915625,2,0.0002689958583248354,0,0,mosaic,0,2,6,7.0,2.625e-06,3.0,0.3571428571428316,0.09677419354838085,0.001667774321445655,0.0,0.09090909090908264,0.06249999999999903,mosaic,art consisting of a design made of small pieces of colored stone or glass,i56381
es,0.39765700574914536,2,0.0002907924714357562,0,0,mosaic,0,1,4,7.0,2.75e-06,4.0,0.41666666666663194,0.23076923076921302,0.0014294648422745531,0.0,0.0,0.21428571428569898,mosaic,art consisting of a design made of small pieces of colored stone or glass,i56381
nb,0.37768383308007836,2,0.00014202858242893813,0,0,mosaic,0,1,1,7.0,4.79e-07,1.0,0.4999999999999375,0.0,0.0006091546615374043,0.0,0.0,0.0,mosaic,art consisting of a design made of small pieces of colored stone or glass,i56381
en,0.8502338260855682,4,0.9191881142594595,1,1,"picture, painting",20,2,14,7.5,8.74e-05,7.0,0.449999999999955,0.8571428571427346,0.18643616389685944,0.0999999999999995,0.09090909090908264,0.6190476190475896,picture,graphic art consisting of an artistic composition made by applying paints to a surface,i56911
it,0.6706175114509058,3,0.45631727056266586,0,1,"picture, painting",16,2,8,6.5,3.195e-05,4.0,0.32142857142854847,0.16129032258063475,0.03240786355865108,0.21917808219177784,0.09090909090908264,0.09374999999999854,picture,graphic art consisting of an artistic composition made by applying paints to a surface,i56911
es,0.660763163449646,3,0.49586010182382456,0,1,"picture, painting",3,2,10,6.5,3.43e-05,5.0,0.37499999999996875,0.307692307692284,0.04169697892599075,0.08108108108107888,0.2499999999999375,0.6428571428570969,picture,graphic art consisting of an artistic composition made by applying paints to a surface,i56911
nb,0.6530570731097258,3,0.46762594932253726,0,1,"picture, painting",0,1,1,6.0,5.25e-06,1.0,0.37499999999995315,0.0,0.007504236251561023,0.0,0.0,0.0,picture,graphic art consisting of an artistic composition made by applying paints to a surface,i56911
nb,0.5942051695746252,3,0.46817224550109693,0,1,"terrace, patio",0,1,1,8.0,4.47e-06,1.0,0.6249999999999218,0.0,0.006376974956189316,0.0,0.0,0.0,terrace,usually paved outdoor area adjoining a residence,i57055
