Language,Synset,ili,Gloss,Lemma,n_hyponyms,n_synonyms,n_syn_senses,word_length,word_frequency,pronounce_complexity,word_in_children_res,word_in_second_lang_learn_res,n_senses
en,Synset('omw-en-03541696-n'),i54942,a hotel providing overnight lodging for travelers,inn,4,5,11,3,1.17e-05,0.18,0,0,1
en,Synset('omw-en-03541696-n'),i54942,a hotel providing overnight lodging for travelers,lodge,4,5,11,5,1.2e-05,0.538,0,0,6
en,Synset('omw-en-09359803-n'),i85815,a land mass that projects well above its surroundings; higher than a hill,mount,5,2,7,5,2.95e-05,0.204,0,0,5
en,Synset('omw-en-09359803-n'),i85815,a land mass that projects well above its surroundings; higher than a hill,mountain,5,2,7,8,5.37e-05,0.778,0,1,2
en,Synset('omw-en-09411430-n'),i86078,a large natural stream of water (larger than a creek),river,200,1,1,5,0.000107,0.197,1,1,1
en,Synset('omw-en-04507155-n'),i60698,a lightweight handheld collapsible canopy,umbrella,1,1,3,8,7.76e-06,0.856,0,0,3
en,Synset('omw-en-09468604-n'),i86379,a long depression in the surface of the land that usually contains a river,vale,12,2,2,4,4.17e-06,0.186,0,0,1
en,Synset('omw-en-09468604-n'),i86379,a long depression in the surface of the land that usually contains a river,valley,12,2,2,6,5.25e-05,0.194,0,0,1
en,Synset('omw-en-10472799-n'),i92240,a male member of a royal family other than the sovereign (especially the son of a sovereign),prince,14,1,1,6,5.25e-05,0.715,0,0,1
en,Synset('omw-en-10231515-n'),i90847,a male sovereign; ruler of a kingdom,rex,79,3,12,3,7.76e-06,0.415,0,0,1
en,Synset('omw-en-10231515-n'),i90847,a male sovereign; ruler of a kingdom,king,79,3,12,4,0.000148,0.249,1,0,10
en,Synset('omw-en-10231515-n'),i90847,a male sovereign; ruler of a kingdom,male monarch,79,3,12,12,4.61e-06,0.862,0,0,1
en,Synset('omw-en-03612814-n'),i55356,a metal pot for stewing or boiling; usually has a lid,kettle,1,2,6,6,3.47e-06,0.458,0,0,4
en,Synset('omw-en-03612814-n'),i55356,a metal pot for stewing or boiling; usually has a lid,boiler,1,2,6,6,5.13e-06,0.476,0,0,2
en,Synset('omw-en-08287844-n'),i80699,a particular society at a particular time and place,civilisation,7,3,15,12,2.34e-06,0.206,0,0,4
en,Synset('omw-en-08287844-n'),i80699,a particular society at a particular time and place,civilization,7,3,15,12,1.02e-05,0.206,0,0,4
en,Synset('omw-en-08287844-n'),i80699,a particular society at a particular time and place,culture,7,3,15,7,0.000107,0.697,0,0,7
en,Synset('omw-en-10547145-n'),i92688,a person who has died and has been declared a saint by canonization,saint,45,1,3,5,2.57e-05,0.206,0,0,3
en,Synset('omw-en-03028079-n'),i51914,a place for public (especially Christian) worship,church building,5,2,5,15,8.3e-05,0.903,0,0,1
en,Synset('omw-en-03028079-n'),i51914,a place for public (especially Christian) worship,church,5,2,5,6,0.000145,0.844,0,1,4
en,Synset('omw-en-04306847-n'),i59503,a sculpture representing a human or animal,statue,7,1,1,6,1.23e-05,0.849,0,0,1
en,Synset('omw-en-08639058-n'),i82357,a sheltered port where ships can take on or discharge cargo,haven,5,4,7,5,1.35e-05,0.201,1,0,2
en,Synset('omw-en-08639058-n'),i82357,a sheltered port where ships can take on or discharge cargo,harbor,5,4,7,6,1.41e-05,0.614,0,0,2
en,Synset('omw-en-08639058-n'),i82357,a sheltered port where ships can take on or discharge cargo,harbour,5,4,7,7,9.55e-06,0.614,0,0,2
en,Synset('omw-en-02858304-n'),i50885,a small vessel for travel on water,boat,26,1,2,4,5.13e-05,0.202,1,1,2
en,Synset('omw-en-07850329-n'),i78427,a solid food prepared from the pressed curd of milk,cheese,26,1,2,6,3.72e-05,0.677,0,1,2
en,Synset('omw-en-09475292-n'),i86414,a steep descent of the water of a river,waterfall,16,2,3,9,3.47e-06,0.843,0,0,1
en,Synset('omw-en-09475292-n'),i86414,a steep descent of the water of a river,falls,16,2,3,5,4.27e-05,0.206,0,0,2
en,Synset('omw-en-03467517-n'),i54496,a stringed instrument usually having six strings; played by strumming or plucking,guitar,6,1,1,6,3.02e-05,0.592,0,0,1
en,Synset('omw-en-05946687-n'),i68078,a strong belief in a supernatural power or powers that control human destiny,faith,26,3,7,5,6.61e-05,0.189,0,1,4
en,Synset('omw-en-05946687-n'),i68078,a strong belief in a supernatural power or powers that control human destiny,religion,26,3,7,8,5.5e-05,0.879,0,0,2
en,Synset('omw-en-05946687-n'),i68078,a strong belief in a supernatural power or powers that control human destiny,religious belief,26,3,7,16,2.05e-05,0.872,0,0,1
en,Synset('omw-en-03743902-n'),i56131,a structure erected to commemorate persons or events,memorial,12,2,6,8,2.57e-05,0.205,0,0,3
en,Synset('omw-en-03743902-n'),i56131,a structure erected to commemorate persons or events,monument,12,2,6,8,7.94e-06,0.858,0,0,3
en,Synset('omw-en-04157320-n'),i58585,a three-dimensional work of plastic art,sculpture,9,1,2,9,8.32e-06,0.756,0,0,2
en,Synset('omw-en-02924116-n'),i51285,a vehicle carrying many passengers; used for public transport,coach,3,10,18,5,9.12e-05,0.532,0,0,5
en,Synset('omw-en-02924116-n'),i51285,a vehicle carrying many passengers; used for public transport,passenger vehicle,3,10,18,17,1.69e-05,0.702,0,0,1
en,Synset('omw-en-02924116-n'),i51285,a vehicle carrying many passengers; used for public transport,bus,3,10,18,3,6.76e-05,0.256,0,1,4
en,Synset('omw-en-11462526-n'),i97824,a violent weather condition with winds 64-72 knots (11 on the Beaufort scale) and precipitation and thunder and lightning,storm,8,2,4,5,4.57e-05,0.792,0,0,3
en,Synset('omw-en-11462526-n'),i97824,a violent weather condition with winds 64-72 knots (11 on the Beaufort scale) and precipitation and thunder and lightning,violent storm,8,2,4,13,1.77e-05,0.877,0,0,1
en,Synset('omw-en-10150940-n'),i90350,a visitor to whom hospitality is extended,invitee,3,2,5,7,1.29e-07,0.196,0,0,1
en,Synset('omw-en-10150940-n'),i90350,a visitor to whom hospitality is extended,guest,3,2,5,5,3.8e-05,0.366,1,0,4
en,Synset('omw-en-00523513-n'),i38140,an active diversion requiring physical exertion and competition,athletics,20,2,10,9,6.61e-06,0.821,0,0,3
en,Synset('omw-en-00523513-n'),i38140,an active diversion requiring physical exertion and competition,sport,20,2,10,5,5.37e-05,0.812,0,1,7
en,Synset('omw-en-07447641-n'),i75850,an occasion on which people can assemble for social interaction and entertainment,party,11,1,5,5,0.000309,0.207,1,1,5
en,Synset('omw-en-03138669-n'),i52549,an ornamental jeweled headdress signifying sovereignty,crown,1,2,13,5,3.63e-05,0.198,0,0,12
en,Synset('omw-en-03138669-n'),i52549,an ornamental jeweled headdress signifying sovereignty,diadem,1,2,13,6,2.45e-07,0.656,0,0,1
en,Synset('omw-en-00428000-n'),i37653,any joyous diversion,celebration,7,2,4,11,1.95e-05,0.634,0,0,3
en,Synset('omw-en-00428000-n'),i37653,any joyous diversion,festivity,7,2,4,9,3.47e-07,0.839,0,0,1
en,Synset('omw-en-02984061-n'),i51645,any large and important church,cathedral,2,1,2,9,9.77e-06,0.865,0,0,2
en,Synset('omw-en-12620196-n'),i103203,any of many shrubs of the genus Rosa that bear roses,rose,11,2,4,4,6.61e-05,0.186,0,0,3
en,Synset('omw-en-12620196-n'),i103203,any of many shrubs of the genus Rosa that bear roses,rosebush,11,2,4,8,5.89e-08,0.787,0,0,1
en,Synset('omw-en-07622708-n'),i76902,any of various baked foods made of dough or batter,pastry,17,1,2,6,3.39e-06,0.636,0,0,2
en,Synset('omw-en-07724943-n'),i77610,any of various edible seeds of plants of the family Leguminosae used for food,bean,3,2,5,4,9.55e-06,0.195,0,0,4
en,Synset('omw-en-07724943-n'),i77610,any of various edible seeds of plants of the family Leguminosae used for food,edible bean,3,2,5,11,2.95e-06,0.874,0,0,1
en,Synset('omw-en-02512053-n'),i48880,any of various mostly cold-blooded aquatic vertebrates usually having scales and breathing through gills,fish,13,1,4,4,7.94e-05,0.197,1,1,4
en,Synset('omw-en-03787759-n'),i56381,art consisting of a design made of small pieces of colored stone or glass,mosaic,0,1,6,6,3.8e-06,0.206,0,0,6
en,Synset('omw-en-02395406-n'),i48199,domestic swine,squealer,1,5,15,8,4.57e-08,0.843,0,0,2
en,Synset('omw-en-02395406-n'),i48199,domestic swine,hog,1,5,15,3,3.72e-06,0.197,0,0,3
en,Synset('omw-en-02395406-n'),i48199,domestic swine,pig,1,5,15,3,1.38e-05,0.247,0,0,6
en,Synset('omw-en-11458314-n'),i97801,droplets of water vapor suspended in the air near the ground,fog,4,1,3,3,7.94e-06,0.199,0,0,3
en,Synset('omw-en-07891726-n'),i78715,fermented juice (of grapes especially),vino,24,2,3,4,5.89e-07,0.193,0,0,1
en,Synset('omw-en-07891726-n'),i78715,fermented juice (of grapes especially),wine,24,2,3,4,5.5e-05,0.18,0,1,2
en,Synset('omw-en-03876519-n'),i56911,graphic art consisting of an artistic composition made by applying paints to a surface,picture,20,2,14,7,0.000135,0.745,1,1,10
en,Synset('omw-en-03876519-n'),i56911,graphic art consisting of an artistic composition made by applying paints to a surface,painting,20,2,14,8,3.98e-05,0.797,0,0,4
en,Synset('omw-en-07669891-n'),i77246,meat cut from the thigh of a hog (usually smoked),gammon,2,3,7,6,3.24e-07,0.2,0,0,2
en,Synset('omw-en-07669891-n'),i77246,meat cut from the thigh of a hog (usually smoked),jambon,2,3,7,6,4.27e-08,0.862,0,0,1
en,Synset('omw-en-07669891-n'),i77246,meat cut from the thigh of a hog (usually smoked),ham,2,3,7,3,1.32e-05,0.192,0,1,4
en,Synset('omw-en-04228054-n'),i58996,narrow wood or metal or plastic runners used in pairs for gliding over snow,ski,1,1,1,3,1.35e-05,0.389,0,0,1
en,Synset('omw-en-07352190-n'),i75330,one of a series of ridges that moves across the surface of a liquid (especially across a large body of water),wave,13,2,10,4,4.17e-05,0.184,1,0,9
en,Synset('omw-en-07352190-n'),i75330,one of a series of ridges that moves across the surface of a liquid (especially across a large body of water),moving ridge,13,2,10,12,1.17e-05,0.872,0,0,1
en,Synset('omw-en-15236475-n'),i117307,one of the natural periods into which the year is divided by the equinoxes and solstices or atmospheric conditions,season,8,2,4,6,0.000302,0.672,0,1,3
en,Synset('omw-en-15236475-n'),i117307,one of the natural periods into which the year is divided by the equinoxes and solstices or atmospheric conditions,time of year,8,2,4,12,0.000606,0.844,0,0,1
en,Synset('omw-en-07970721-n'),i79200,people descended from a common ancestor,sept,5,7,18,4,2.24e-05,0.495,0,0,2
en,Synset('omw-en-07970721-n'),i79200,people descended from a common ancestor,family line,5,7,18,11,0.000184,0.199,0,0,1
en,Synset('omw-en-07970721-n'),i79200,people descended from a common ancestor,family,5,7,18,6,0.000457,0.205,1,1,8
en,Synset('omw-en-11508382-n'),i98073,precipitation falling from clouds in the form of ice crystals,snow,2,2,5,4,4.57e-05,0.189,0,1,4
en,Synset('omw-en-11508382-n'),i98073,precipitation falling from clouds in the form of ice crystals,snowfall,2,2,5,8,1.66e-06,0.203,0,0,1
en,Synset('omw-en-08645033-n'),i82392,rural regions,countryside,0,1,1,11,8.32e-06,0.862,0,0,1
en,Synset('omw-en-10093658-n'),i89974,someone whose occupation is catching fish,fisher,2,2,3,6,1.05e-05,0.202,0,0,2
en,Synset('omw-en-10093658-n'),i89974,someone whose occupation is catching fish,fisherman,2,2,3,9,3.09e-06,0.835,0,0,1
en,Synset('omw-en-07006119-n'),i73479,the art of writing and producing plays,theatre,1,5,10,7,3.31e-05,0.194,0,1,3
en,Synset('omw-en-07006119-n'),i73479,the art of writing and producing plays,dramatic art,1,5,10,12,2.27e-05,0.847,0,0,1
en,Synset('omw-en-07006119-n'),i73479,the art of writing and producing plays,theater,1,5,10,7,2.24e-05,0.194,0,0,3
en,Synset('omw-en-11524662-n'),i98170,the atmospheric conditions that comprise the state of the atmosphere in terms of temperature and wind and clouds and precipitation,weather,11,4,6,7,7.41e-05,0.195,0,1,1
en,Synset('omw-en-11524662-n'),i98170,the atmospheric conditions that comprise the state of the atmosphere in terms of temperature and wind and clouds and precipitation,weather condition,11,4,6,17,3.66e-05,0.879,0,0,1
en,Synset('omw-en-11524662-n'),i98170,the atmospheric conditions that comprise the state of the atmosphere in terms of temperature and wind and clouds and precipitation,conditions,11,4,6,10,9.55e-05,0.822,0,0,3
en,Synset('omw-en-15168790-n'),i116932,the first light of day,break of day,0,12,21,12,0.000129,0.648,0,0,1
en,Synset('omw-en-15168790-n'),i116932,the first light of day,first light,0,12,21,11,0.000183,0.667,0,0,1
en,Synset('omw-en-15168790-n'),i116932,the first light of day,morning,0,12,21,7,0.000214,0.818,1,1,4
en,Synset('omw-en-07574602-n'),i76564,the first meal of the day (usually in the morning),breakfast,2,1,1,9,4.07e-05,0.874,0,1,1
en,Synset('omw-en-15098161-n'),i116549,the hard fibrous lignified substance under the bark of trees,wood,91,1,8,4,6.03e-05,0.199,0,1,8
en,Synset('omw-en-03781244-n'),i56337,the residence of a religious community,monastery,4,1,1,9,4.47e-06,0.661,0,0,1
en,Synset('omw-en-09428293-n'),i86148,the shore of a sea or ocean,sea-coast,9,4,7,9,4.5e-05,0.206,0,0,1
en,Synset('omw-en-09428293-n'),i86148,the shore of a sea or ocean,seashore,9,4,7,8,8.32e-07,0.776,0,0,1
en,Synset('omw-en-09428293-n'),i86148,the shore of a sea or ocean,coast,9,4,7,5,7.41e-05,0.465,0,0,4
en,Synset('omw-en-09450163-n'),i86272,the star that is the source of light and heat for the planets in the solar system,sun,0,2,8,3,9.33e-05,0.192,0,1,6
en,Synset('omw-en-15169421-n'),i116935,the time of day immediately following sunset,fall,1,9,22,4,0.000135,0.198,0,1,12
en,Synset('omw-en-15169421-n'),i116935,the time of day immediately following sunset,twilight,1,9,22,8,6.61e-06,0.199,0,0,3
en,Synset('omw-en-15169421-n'),i116935,the time of day immediately following sunset,dusk,1,9,22,4,2.75e-06,0.41,0,0,1
en,Synset('omw-en-15237250-n'),i117310,the warmest season of the year; in the northern hemisphere it extends from the summer solstice to the autumnal equinox,summertime,0,2,3,10,1.78e-06,0.208,0,0,1
en,Synset('omw-en-15237250-n'),i117310,the warmest season of the year; in the northern hemisphere it extends from the summer solstice to the autumnal equinox,summer,0,2,3,6,0.00017,0.198,1,1,2
en,Synset('omw-en-03899768-n'),i57055,usually paved outdoor area adjoining a residence,terrace,1,2,4,7,7.59e-06,0.49,0,0,3
en,Synset('omw-en-03899768-n'),i57055,usually paved outdoor area adjoining a residence,patio,1,2,4,5,2.75e-06,0.562,0,0,1
en,Synset('omw-en-11501381-n'),i98034,water falling in drops from vapor condensed in the atmosphere,rainfall,5,2,4,8,6.61e-06,0.78,0,0,1
en,Synset('omw-en-11501381-n'),i98034,water falling in drops from vapor condensed in the atmosphere,rain,5,2,4,4,5.13e-05,0.181,1,1,3
en,Synset('omw-en-03322099-n'),i53601,workplace consisting of farm buildings and cultivated land as a unit,farm,13,1,1,4,5.62e-05,0.204,0,1,1
it,Synset('omw-iwn-10547145-n'),i92688,Chi è stato canonizzato ed è venerato con culto pubblico nella chiesa universale,santo,4,3,6,5,7.76e-05,0.202,0,0,4
it,Synset('omw-iwn-10547145-n'),i92688,Chi è stato canonizzato ed è venerato con culto pubblico nella chiesa universale,san,4,3,6,3,0.000234,0.184,0,0,1
it,Synset('omw-iwn-10547145-n'),i92688,Chi è stato canonizzato ed è venerato con culto pubblico nella chiesa universale,s.,4,3,6,2,0.000269,0.203,0,0,1
it,Synset('omw-iwn-07352190-n'),i75330,afflusso e riflusso di massa d'acqua sulla superficie di uno specchio d'acqua,onda,10,1,7,4,4.79e-05,0.196,0,1,7
it,Synset('omw-iwn-03541696-n'),i54942,albergo di categoria e di dimensioni modeste,locanda,1,1,2,7,3.31e-06,0.202,0,0,2
it,Synset('omw-iwn-07669891-n'),i77246,alimento ottenuto dalla coscia di maiale salata e fatta asciugare,prosciutto,0,1,2,10,7.59e-06,0.764,0,0,2
it,Synset('omw-iwn-09468604-n'),i86379,ampia e profonda depressione della superficie terrestre,valle,7,1,3,5,4.79e-05,0.188,0,0,3
it,Synset('omw-iwn-02512053-n'),i48880,animale vertebrato acquatico,pesce,3,1,5,5,4.07e-05,0.199,1,0,5
it,Synset('omw-it-04373894-n'),i59896,arma bianca da taglio,ferro,4,5,22,5,4.57e-05,0.2,0,0,7
it,Synset('omw-it-04373894-n'),i59896,arma bianca da taglio,spada,4,5,22,5,2.63e-05,0.614,0,0,2
it,Synset('omw-it-04373894-n'),i59896,arma bianca da taglio,lama,4,5,22,4,1.45e-05,0.182,0,0,11
it,Synset('omw-iwn-04507155-n'),i60698,arnese per ripararsi dalla pioggia o dal sole,paracqua,1,3,7,8,0.0,0.203,0,0,2
it,Synset('omw-iwn-04507155-n'),i60698,arnese per ripararsi dalla pioggia o dal sole,ombrello,1,3,7,8,4.47e-06,0.843,0,0,3
it,Synset('omw-iwn-04507155-n'),i60698,arnese per ripararsi dalla pioggia o dal sole,parapioggia,1,3,7,11,6.92e-08,0.858,0,0,2
it,Synset('omw-iwn-07006119-n'),i73479,arte teatrale,teatro,0,2,9,6,8.71e-05,0.202,0,1,6
it,Synset('omw-iwn-07006119-n'),i73479,arte teatrale,palcoscenico,0,2,9,12,6.46e-06,0.779,0,0,3
it,Synset('omw-iwn-07891726-n'),i78715,bevanda alcolica ottenuta dalla fermentazione delle uve pigiate,vino,17,1,2,4,6.46e-05,0.19,0,1,2
it,Synset('omw-iwn-07929519-n'),i78981,"bevanda aromatica di colore scuro che si ricava dai semi, tostati e macinati, della pianta omonima",caffè,8,1,8,5,6.76e-05,0.507,0,0,8
it,Synset('omw-iwn-07933274-n'),i79004,bevanda ottenuta per infusione delle foglie disseccate del tè,tè,2,2,9,2,1.86e-05,0.197,1,0,5
it,Synset('omw-iwn-07933274-n'),i79004,bevanda ottenuta per infusione delle foglie disseccate del tè,thè,2,2,9,3,1.02e-06,0.197,0,0,4
it,Synset('omw-iwn-09475292-n'),i86414,"caduta di una massa d'acqua (di torrente, lago o fiume) dovuto a un dislivello naturale o artificiale del terreno",cascata,1,1,3,7,5.62e-06,0.782,0,0,3
it,Synset('omw-it-03138669-n'),i52549,"cerchio di metallo prezioso più o meno lavorato e tempestato di gemme, simbolo dell'autorità del sovrano",corona,1,2,14,6,2.51e-05,0.2,0,0,12
it,Synset('omw-it-03138669-n'),i52549,"cerchio di metallo prezioso più o meno lavorato e tempestato di gemme, simbolo dell'autorità del sovrano",diadema,1,2,14,7,6.92e-07,0.775,0,0,2
it,Synset('omw-iwn-10093658-n'),i89974,chi si dedica alla pesca per mestiere o per sport,pescatore,1,1,2,9,4.07e-06,0.773,0,0,2
it,Synset('omw-iwn-04228054-n'),i58996,ciascuno dei due attrezzi usati per scivolare sulla neve,sci,1,1,4,3,1.23e-05,0.185,0,0,4
it,Synset('omw-iwn-15236475-n'),i117307,ciascuno dei quattro periodi in cui è suddiviso l'anno,stagione,11,1,5,8,0.000129,0.842,0,1,5
it,Synset('omw-it-11524662-n'),i98170,condizioni meteorologiche,tempo,13,1,17,5,0.000955,0.524,1,1,17
it,Synset('omw-it-09411430-n'),i86078,corso d'acqua,fiume,73,1,4,5,6.31e-05,0.493,0,1,4
it,Synset('omw-iwn-03743902-n'),i56131,"costruzione, opera importante sotto il profilo storico o artistico",monumento,9,1,3,9,2.04e-05,0.204,0,0,3
it,Synset('omw-it-03322099-n'),i53601,costruzioni e terreno di una fattoria considerati come unità,masseria,9,4,12,8,1.62e-06,0.725,0,0,2
it,Synset('omw-it-03322099-n'),i53601,costruzioni e terreno di una fattoria considerati come unità,allevamento,9,4,12,11,8.91e-06,0.729,0,0,6
it,Synset('omw-it-03322099-n'),i53601,costruzioni e terreno di una fattoria considerati come unità,fattoria,9,4,12,8,9.77e-06,0.738,0,0,3
it,Synset('omw-iwn-05946687-n'),i68078,credenza,fede,16,2,16,4,7.94e-05,0.199,0,1,9
it,Synset('omw-iwn-05946687-n'),i68078,credenza,credenza,16,2,16,8,5.25e-06,0.826,1,0,7
it,Synset('omw-iwn-08287844-n'),i80699,cultura di un determinato popolo,cultura,0,2,16,7,0.000174,0.794,0,1,10
it,Synset('omw-iwn-08287844-n'),i80699,cultura di un determinato popolo,civiltà,0,2,16,7,2.75e-05,0.79,0,0,6
it,Synset('omw-iwn-03787759-n'),i56381,"decorazione di pareti o pavimenti ottenuta accostando cubetti o frammenti colorati di pietra, vetro e simili per ottenere il disegno stabilito",mosaico,0,1,4,7,5.25e-06,0.201,0,0,4
it,Synset('omw-iwn-03028079-n'),i51914,edificio sacro in cui si svolgono pubblicamente gli atti di culto delle religioni cristiane,chiesa,4,1,4,6,0.000191,0.658,0,1,4
it,Synset('omw-iwn-11458314-n'),i97801,fenomeno atmosferico consistente in massa di goccioline minutissime di acqua in sospensione nell'atmosfera,nebbia,2,1,4,6,1.17e-05,0.199,0,0,4
it,Synset('omw-it-07447641-n'),i75850,"festeggiamento, pubblico o privato, organizzato per celebrare una circostanza lieta o per divertimento",party,4,3,12,5,2.09e-05,0.453,0,0,1
it,Synset('omw-it-07447641-n'),i75850,"festeggiamento, pubblico o privato, organizzato per celebrare una circostanza lieta o per divertimento",ricevimento,4,3,12,11,5.5e-06,0.766,0,0,3
it,Synset('omw-it-07447641-n'),i75850,"festeggiamento, pubblico o privato, organizzato per celebrare una circostanza lieta o per divertimento",festa,4,3,12,5,0.00012,0.493,1,1,8
it,Synset('omw-iwn-10472799-n'),i92240,"figlio di sovrano regnante, futuro sovrano",principe,11,1,2,8,5.62e-05,0.855,0,0,2
it,Synset('omw-iwn-00478262-n'),i37904,gioco del calcio,football,0,2,10,8,1.32e-05,0.784,0,0,4
it,Synset('omw-iwn-00478262-n'),i37904,gioco del calcio,calcio,0,2,10,6,0.000135,0.642,1,1,6
it,Synset('omw-it-00478262-n'),i37904,gioco tra due squadre di undici giocatori l'una che consiste nel mandare il pallone nella rete avversaria colpendolo con i piedi o con la testa,pallone,0,3,14,7,1.26e-05,0.724,0,0,4
it,Synset('omw-iwn-08226699-n'),i80343,"gruppo di persone che abitano un piccolo borgo, un villagggio",villaggio,0,1,4,9,5.13e-05,0.821,1,0,4
it,Synset('omw-iwn-09426788-n'),i86143,il complesso delle acque salate che coprono gran parte della superficie terrestre,acque,23,2,10,5,4.9e-05,0.202,0,0,3
it,Synset('omw-iwn-09426788-n'),i86143,il complesso delle acque salate che coprono gran parte della superficie terrestre,mare,23,2,10,4,0.000166,0.183,0,1,7
it,Synset('omw-iwn-00428000-n'),i37653,il festeggiare,festeggiamento,3,2,5,14,4.47e-07,0.837,0,0,2
it,Synset('omw-iwn-00428000-n'),i37653,il festeggiare,celebrazione,3,2,5,12,1.07e-05,0.834,0,0,3
it,Synset('omw-iwn-15098161-n'),i116549,il materiale,legno,44,2,5,5,4.79e-05,0.186,0,0,3
it,Synset('omw-iwn-15098161-n'),i116549,il materiale,legname,44,2,5,7,3.55e-06,0.189,0,0,2
it,Synset('omw-iwn-07574602-n'),i76564,il primo pasto del mattino,colazione,0,1,3,9,3.98e-05,0.206,0,0,3
it,Synset('omw-it-07970721-n'),i79200,l'insieme dei consanguinei di tutte le generazioni presenti e passate,famiglia,4,1,11,8,0.000355,0.192,1,1,11
it,Synset('omw-iwn-07970721-n'),i79200,l'insieme delle famiglie con uno stesso capostipite,razza,4,12,66,5,3.55e-05,0.564,0,0,10
it,Synset('omw-iwn-07970721-n'),i79200,l'insieme delle famiglie con uno stesso capostipite,gente,4,12,66,5,0.000437,0.85,0,1,8
it,Synset('omw-iwn-10150940-n'),i90350,la persona accolta in casa d'altri,ospite,0,1,7,6,2.75e-05,0.756,1,0,7
it,Synset('omw-it-15168790-n'),i116932,la prima luce del giorno,alba,0,7,26,4,2.24e-05,0.194,0,0,6
it,Synset('omw-it-15168790-n'),i116932,la prima luce del giorno,aurora,0,7,26,6,7.41e-06,0.199,0,0,6
it,Synset('omw-it-15168790-n'),i116932,la prima luce del giorno,albori,0,7,26,6,2.04e-06,0.694,0,0,5
it,Synset('omw-it-15237250-n'),i117310,"la stagione più calda dell'anno, tra la primavera e l'autunno",estate,0,1,2,6,6.92e-05,0.729,1,1,2
it,Synset('omw-it-09450163-n'),i86272,la stella attorno alla quale gravitano i corpi celesti del sistema solare,sole,0,2,12,4,0.000135,0.188,0,1,11
it,Synset('omw-iwn-09428293-n'),i86148,la striscia di terra e la regione situata vicino al mare,costiera,0,6,28,8,1.07e-05,0.203,0,0,3
it,Synset('omw-iwn-09428293-n'),i86148,la striscia di terra e la regione situata vicino al mare,marina,0,6,28,6,4.47e-05,0.189,0,0,7
it,Synset('omw-iwn-09428293-n'),i86148,la striscia di terra e la regione situata vicino al mare,costa,0,6,28,5,0.000112,0.533,0,0,8
