ili,representation_lemma,en_definitions,lang_lemmas
i76387,desesperación,['the feeling that everything is wrong and nothing will turn out well'],desesperación
i81461,cañaveral,['a dense growth of cane (especially giant cane)'],cañaveral
i48457,guanaco,['wild llama'],guanaco
i48199,puerco,['domestic swine'],sus
i75412,interrupción,['some abrupt occurrence that interrupts an ongoing activity'],pausa
i56337,monasterio,['the residence of a religious community'],convento
i70970,dos,['an operating system that is on a disk'],DOS
i93005,cantante,['a person who sings'],cantante
i86288,altiplano,['a relatively flat highland'],meseta
i58420,galería,['gallery where works of art can be displayed'],galería
i60816,galería,['a porch along the outside of a building (sometimes partly enclosed)'],galería
i54146,galería,['a long usually narrow room used for some specific purpose'],galería
i54145,galería,['a covered corridor (especially one extending along the wall of a building and supported with arches or columns)'],galería
i50741,sillín,['a seat for the rider of a bicycle'],asiento de bicicleta
i49829,ladrón,['device that enables something to be used in a way different from that for which it was intended or makes different pieces of apparatus compatible'],ladrón
i93630,ladrón,['a criminal who takes property belonging to someone else with the intention of keeping it or selling it'],ladrón
i57055,terrace,['usually paved outdoor area adjoining a residence'],patio
i51237,bullfight,['a Spanish or Portuguese or Latin American spectacle; a matador baits and (usually) kills a bull in an arena before many spectators'],corrida de toros
i116891,festival,['a day or period of time set aside for feasting and celebration'],fiesta
i98125,sunrise,['atmospheric phenomena accompanying the daily appearance of the sun'],amanecer
i57608,pottery,['ceramic ware made from clay and baked in a kiln'],cerámica
i56382,mosaic,['arrangement of aerial photographs forming a composite picture'],mosaico
i39911,siesta,['a nap in the early afternoon (especially in hot countries)'],siesta
i51646,cathedral,"[""the principal Christian church building of a bishop's diocese""]",catedral
i88605,sailor,['a serviceman in the navy'],guardia marina
i92924,shepherd,['a herder of sheep (on an open range); someone who keeps the sheep together in a flock'],pastor
i72659,donkey,['the symbol of the Democratic Party; introduced in cartoons by Thomas Nast in 1874'],burro
i60863,vineyard,['a farm of grapevines where wine grapes are produced'],viña
i77835,grape,['any of various juicy fruit of the genus Vitis with green or purple skins; grow in clusters'],uva
i86272,sun,['the star that is the source of light and heat for the planets in the solar system'],sol
i77246,ham,['meat cut from the thigh of a hog (usually smoked)'],jamón
i59503,statue,['a sculpture representing a human or animal'],figura
i52313,convent,['a religious residence especially for nuns'],convento
i38116,carnival,['a traveling show; having sideshows and rides and games of skill etc.'],feria
