ili,representation_lemma,en_definitions,lang_lemmas
i66962,music,['any agreeable (pleasing and harmonious) sounds'],musica
i73566,musica,['an artistic form of auditory communication incorporating instrumental or vocal tones in a structured and continuous manner'],musica
i62886,modalità,['how something is done or how it happens'],modo
i71960,previsione,['a statement made about the future'],previsione
i36789,innovazione,['making modern in appearance or behavior'],innovazione
i62405,iniziativa,['readiness to embark on bold new ventures'],iniziativa
i88364,autorità,['(usually plural) persons who exercise (administrative) control over others'],potere
i88363,autorità,['an expert whose views are taken as definitive'],autorità
i79516,autorità,['the organization that is the governing authority of a political unit'],governo
i51976,classe,['a room in a school where lessons take place'],classe
i79319,classe,['a collection of things sharing a common attribute'],famiglia
i74476,verifica,['a set of questions or exercises evaluating skill or knowledge'],prova
i36160,verifica,['the act of inspecting or verifying'],controllo
i51221,palazzo,['a structure that has a roof and walls and stands more or less permanently in one place'],costruzione
i117514,pace,['a pause for relaxation'],pace
i110351,pace,['the state prevailing during the absence of war'],pace
i38426,prestazione,['a process or series of acts especially of a practical or mechanical nature involved in a particular form of work'],attività
i40103,preparazione,['activity leading to skilled behavior'],istruzione
i62848,preparazione,['the result of good upbringing (especially knowledge of correct social behavior)'],formazione
i93760,rappresentante,['a salesman who travels to call on customers'],rappresentante
i92534,rappresentante,['a person who represents others'],agente
i67968,criterio,['the ideal in terms of which something can be judged'],standard
i67915,criterio,['a basic generalization that is accepted as true and that can be used as a basis for reasoning or conduct'],legge
i63463,vigore,['physical energy or intensity'],forza
i70093,capitolo,['a subdivision of a written work; usually numbered and titled'],capo
i72136,capitolo,['the subject matter at issue'],capo
i70802,statuto,['law determining the fundamental political principles of a government'],costituzione
i70466,statuto,['a document incorporating an institution and specifying its rights; includes the articles of incorporation and the certificate of incorporation'],carta
i52486,creazione,['an artifact that has been brought into existence by someone'],creazione
i40180,creazione,['the human act of creating'],creazione
i59695,fascia,['artifact consisting of a narrow flat piece of material'],lista
i113120,occasione,['an opportunity to do something'],modo
i113269,occasione,['the set of facts or circumstances that surround a situation or event'],volta
i67558,categoria,['a general concept that marks divisions or coordinations in a conceptual scheme'],categoria
i67309,giudizio,['the cognitive process of reaching a decision or drawing conclusions'],giudizio
i41619,giudizio,['(law) the determination by a court of competent jurisdiction on matters submitted to it'],decisione
i67555,giudizio,['an opinion formed by judging something'],giudizio
i39989,giudizio,['the act of judging or assessing a person or situation or event'],giudizio
i61378,spirito,['an inclination or tendency of a certain kind'],spirito
i86825,spirito,['any incorporeal supernatural being that can become visible (or audible) to human beings'],spirito
i37014,viaggio,['the act of traveling from one place to another'],viaggio
i71549,avviso,['cautionary advice about something imminent (especially imminent danger or other unpleasantness)'],avviso
i71545,avviso,['a proposal for an appropriate course of action'],consiglio
i74624,avviso,['a message informing of danger'],avviso
i71406,traccia,['a perceptible indication of something not immediately apparent (as a visible clue that something has happened)'],segno
i37557,pratica,['a customary way of operation or behavior'],pratica
i40105,pratica,['systematic training by multiple repetitions'],scuola
i75256,scontro,['the striking of one body against another'],impatto
i40416,scontro,['a hostile meeting of opposing military forces in the course of a war'],battaglia
i72562,nota,['a notation representing the pitch and duration of a musical sound'],nota
i70636,nota,['a brief written record'],nota
i50499,base,['a support or foundation'],base
i109973,base,['the bottom side of a geometric figure from which the altitude can be constructed'],base
i54003,base,['lowest support of a structure'],base
i70513,elenco,['a database containing an ordered array of items (names or topics)'],nota
i63437,vigore,['active strength of body or mind'],energia
i41323,obbligo,['the social force that binds you to the courses of action demanded by that force'],responsabilità
i97892,luce,['(physics) electromagnetic radiation that can produce a visual sensation'],luce
i59231,luce,['any device serving as a source of visible electromagnetic radiation'],luce
i97765,luce,['energy made available by the flow of electric charge through a conductor'],luce
i66921,osservazione,['explicit notice'],dato di fatto
i66882,osservazione,['the act of noticing or paying attention'],osservazione
i67810,esigenza,['required activity'],esigenza
i112940,esigenza,['a condition requiring relief'],bisogno
i110463,libertà,['the condition of being free; the power to act or speak or think without externally imposed restraints'],libertà
i67984,interpretazione,['a mental representation of the meaning or significance of something'],interpretazione
i67197,interpretazione,['an explanation of something that is not immediately obvious'],interpretazione
i74204,intervista,['a conference (usually with someone important)'],intervista
i75057,incidente,['an unfortunate mishap; especially one causing damage or injury'],incidente
i75060,incidente,['a serious accident (usually involving one or more vehicles)'],incidente
i61348,personalità,"['the complex of all the attributes--behavioral, temperamental, emotional and mental--that characterize a unique individual']",personalità
i75030,seguito,['something that follows something else'],seguito
i60065,telefono,['electronic equipment that converts sound into electrical signals that can be transmitted over distances and then converts received signals back into sounds'],telefono
i109030,dividendo,['a number to be divided by another number'],dividendo
i106484,dividendo,['assets belonging to or due to or contributed by an individual person or group'],quota
i69962,racconto,['a prose narrative shorter than a novel'],racconto
i74607,racconto,['the act of giving an account describing incidents or a course of events'],storia
i37503,cambiamento,['the act of revising or altering (involving reconsideration and modification)'],cambiamento
i35667,iscrizione,['the act of enrolling'],registrazione
i61343,tratto,['a distinguishing feature of your personal nature'],tratto
i72214,tratto,"['a mark made on a surface by a pen, pencil, or paintbrush']",linea
i72219,tratto,['a mark that is long relative to its width'],linea
i85597,isola,['a land mass (smaller than a continent) that is surrounded by water'],isola
i73576,opera,['a drama set to music; consists of singing with orchestral accompaniment and an orchestral overture and interludes'],opera
i38422,opera,['activity directed toward making or doing something'],lavoro
i61245,opera,['a product produced or accomplished through the effort or activity or agency of a person or thing'],lavoro
i116902,mercoledì,['the fourth day of the week; the third working day'],mercoledì
i40718,raccolta,['the act of gathering something'],raccolta
i52478,casco,['a padded helmet worn by people riding bicycles or motorcycles; protects the head in case of accidents'],casco
i76138,dolore,['psychological suffering'],dolore
i76352,dolore,['intense sorrow caused by loss of a loved one (especially by death)'],dolore
i80459,complesso,['an organization of musicians who perform together'],complesso
i67722,complesso,['a conceptual whole made up of complicated and related parts'],complesso
i107022,credito,['money available for a client to borrow'],credito
i55155,internet,['a computer network consisting of a worldwide network of computer networks that use the TCP/IP network protocols to facilitate data transmission and exchange'],internet
i36457,cambiamento,['the act of making something different (as e.g. the size of a garment)'],cambiamento
i80527,party,['an organization to gain political power'],parte
i50129,architecture,['an architectural product or work'],architettura
i89293,artisan,['a skilled worker who practices some trade or handicraft'],artigiano
i58585,sculpture,['a three-dimensional work of plastic art'],scultura
i97951,sun,['the rays of the sun'],luce
i69925,literature,['published writings in a particular style on a particular subject'],letteratura
i78910,espresso,['strong black coffee brewed by forcing hot water under pressure through finely ground coffee beans'],espresso
i75284,sunset,['the daily event of the sun sinking below the horizon'],tramonto
i76412,warmth,['a warmhearted feeling'],calore
i68068,philosophy,['any personal belief about how to live or how to deal with a situation'],filosofia
i80348,family,['an association of people who share common beliefs or activities'],famiglia
i98149,sea,['turbulent water with swells of considerable size'],mare
i78596,pizza,['Italian open pie made of thin bread dough spread with a spiced mixture of e.g. tomato sauce and cheese'],pizza
i116748,leisure,['time available for ease and relaxation'],tempo libero
i110153,romance,['a relationship between two lovers'],storia d'amore
i67858,design,['something intended as a guide for making something else'],modello
i116663,history,['the aggregate of past events'],storia
i79691,church,['one of the groups of Christians who have their own beliefs and forms of worship'],chiesa
