ili,relevant_lang,representation_lemma,en_definitions,en_most_freq_lemma,it_most_freq_lemma,es_most_freq_lemma,nb_most_freq_lemma
i48880,it,fish,['any of various mostly cold-blooded aquatic vertebrates usually having scales and breathing through gills'],['fish'],['pesce'],"['pez', 'pisces']",['fisk']
i56911,it,painting,['graphic art consisting of an artistic composition made by applying paints to a surface'],"['picture', 'painting']","['quadro', 'dipinto']","['pintura', 'cuadro']",['maleri']
i37904,it,soccer,"[""a football game in which two teams of 11 players try to kick or head a ball into the opponents' goal""]",['soccer'],"['calcio', 'football']",['fútbol'],['fotball']
i86562,it,nature,['a causal agent creating and controlling things in the universe'],['nature'],['natura'],['naturaleza'],['natur']
i85815,it,mountain,['a land mass that projects well above its surroundings; higher than a hill'],"['mountain', 'mount']","['monte', 'montagna']","['montaña', 'monte']",['fjell']
i80343,it,village,['a community of people smaller than a town'],"['village', 'settlement']","['paese', 'villaggio']",['pueblo'],['landsby']
i80699,it,culture,['a particular society at a particular time and place'],"['culture', 'civilization']","['cultura', 'civiltà']","['cultura', 'civilización']",['kultur']
i86148,it,coast,['the shore of a sea or ocean'],"['coast', 'sea-coast']","['costa', 'marina']","['costa', 'playa']","['kyst', 'kystområde']"
i51914,it,church,['a place for public (especially Christian) worship'],['church'],['chiesa'],['iglesia'],"['kirke', 'kirkebygning']"
i37653,it,celebration,['any joyous diversion'],"['celebration', 'festivity']","['celebrazione', 'festività']","['celebración', 'festejo']","['selskap', 'fest']"
i78715,it,wine,['fermented juice (of grapes especially)'],"['wine', 'vino']",['vino'],['vino'],"['vin', 'druevin']"
i117310,it,summer,['the warmest season of the year; in the northern hemisphere it extends from the summer solstice to the autumnal equinox'],"['summer', 'summertime']",['estate'],['verano'],['sommer']
i78981,it,coffee,['a beverage consisting of an infusion of ground coffee beans'],"['coffee', 'java']",['caffè'],['café'],"['kaffe', 'mokka']"
i53601,it,farm,['workplace consisting of farm buildings and cultivated land as a unit'],['farm'],"['fattoria', 'allevamento']","['hacienda', 'estancia']","['gård', 'bondegård']"
i58585,it,sculpture,['a three-dimensional work of plastic art'],['sculpture'],['scultura'],['escultura'],['skulptur']
i56381,es,mosaic,['art consisting of a design made of small pieces of colored stone or glass'],['mosaic'],"['mosaico', 'musaico']",['mosaico'],['mosaikk']
i37904,es,soccer,"[""a football game in which two teams of 11 players try to kick or head a ball into the opponents' goal""]",['soccer'],"['calcio', 'football']",['fútbol'],['fotball']
i54496,es,guitar,['a stringed instrument usually having six strings; played by strumming or plucking'],['guitar'],['chitarra'],['guitarra'],['gitar']
i56337,es,monastery,['the residence of a religious community'],['monastery'],"['monastero', 'convento']","['convento', 'monasterio']",['kloster']
i76902,es,pastry,['any of various baked foods made of dough or batter'],['pastry'],['pasta'],"['pastas', 'repostería']","['brød', 'bakverk']"
i59503,es,statue,['a sculpture representing a human or animal'],['statue'],['statua'],"['figura', 'estatua']","['statue', 'billedstøtte']"
i51645,es,cathedral,['any large and important church'],['cathedral'],"['duomo', 'cattedrale']",['catedral'],['katedral']
i57055,es,terrace,['usually paved outdoor area adjoining a residence'],"['terrace', 'patio']","['balcone', 'terrazza']",['patio'],['terrasse']
i78715,es,wine,['fermented juice (of grapes especially)'],"['wine', 'vino']",['vino'],['vino'],"['vin', 'druevin']"
i77246,es,ham,['meat cut from the thigh of a hog (usually smoked)'],"['ham', 'gammon']",['prosciutto'],['jamón'],['skinke']
i78427,es,cheese,['a solid food prepared from the pressed curd of milk'],['cheese'],"['formaggio', 'cacio']",['queso'],"['ost', 'ostetype']"
i79200,es,family,['people descended from a common ancestor'],"['family', 'sept']","['gente', 'famiglia']","['familia', 'linaje']","['familie', 'slekt']"
i86272,es,sun,['the star that is the source of light and heat for the planets in the solar system'],"['sun', 'Sun']","['Sole', 'sole']",['sol'],['sol']
i86143,es,sea,['a division of an ocean or a large body of salt water partially enclosed by land'],['sea'],"['mare', 'acque']","['mar', 'océano']","['hav', 'sjø']"
i86379,es,valley,['a long depression in the surface of the land that usually contains a river'],"['valley', 'vale']","['valle', 'conca']",['valle'],['dal']
i89974,es,fisherman,['someone whose occupation is catching fish'],"['fisher', 'fisherman']",['pescatore'],['pescador'],['fisker']
i77610,es,bean,['any of various edible seeds of plants of the family Leguminosae used for food'],['bean'],['fagiolo'],"['judía', 'alubia']",['bønne']
i48199,es,pig,['domestic swine'],"['pig', 'hog']","['maiale', 'porco']","['sus', 'cerdo']",['gris']
i92688,es,saint,['a person who has died and has been declared a saint by canonization'],['saint'],"['S.', 'san']",['santo'],['helgen']
i116932,es,sunrise,['the first light of day'],"['morning', 'dawn']","['alba', 'aurora']","['orto', 'amanecer']",['daggry']
i38140,nb,sport,['an active diversion requiring physical exertion and competition'],"['sport', 'athletics']",['sport'],['deporte'],"['sport', 'idrett']"
i86078,nb,river,['a large natural stream of water (larger than a creek)'],['river'],['fiume'],['río'],['elv']
i75330,nb,wave,['one of a series of ridges that moves across the surface of a liquid (especially across a large body of water)'],['wave'],"['onda', 'flutto']",['ola'],"['sjø', 'bølge']"
i52549,nb,crown,['an ornamental jeweled headdress signifying sovereignty'],"['crown', 'diadem']","['corona', 'diadema']",['corona'],['krone']
i85647,nb,lake,['a body of (usually fresh) water surrounded by land'],['lake'],['lago'],['lago'],['sjø']
i82357,nb,harbor,['a sheltered port where ships can take on or discharge cargo'],"['harbor', 'haven']",['porto'],['puerto'],['havn']
i117307,nb,season,['one of the natural periods into which the year is divided by the equinoxes and solstices or atmospheric conditions'],['season'],['stagione'],['estación'],['årstid']
i85180,nb,cave,['a geological formation consisting of an underground enclosure with access from the surface of the ground or from the sea'],['cave'],"['grotta', 'antro']",['cueva'],['hule']
i97824,nb,storm,['a violent weather condition with winds 64-72 knots (11 on the Beaufort scale) and precipitation and thunder and lightning'],['storm'],"['temporale', 'tempesta']",['tormenta'],"['storm', 'uvær']"
i98073,nb,snow,['precipitation falling from clouds in the form of ice crystals'],"['snow', 'snowfall']","['neve', 'nevicata']",['nieve'],['snø']
i116927,nb,midnight,"[""12 o'clock at night; the middle of the night""]",['midnight'],['mezzanotte'],['medianoche'],['midnatt']
i90847,nb,king,['a male sovereign; ruler of a kingdom'],"['king', 'Rex']",['re'],"['rey', 'monarca']",['konge']
i116932,nb,aurora,['the first light of day'],"['morning', 'dawn']","['alba', 'aurora']","['orto', 'amanecer']",['daggry']
i50885,nb,boat,['a small vessel for travel on water'],['boat'],"['barca', 'battello']","['barco', 'bote']",['båt']
i116549,nb,wood,['the hard fibrous lignified substance under the bark of trees'],['wood'],"['legno', 'legname']",['madera'],['tre']
i116935,nb,twilight,['the time of day immediately following sunset'],"['fall', 'twilight']","['crepuscolo', 'imbrunire']","['anochecer', 'crepúsculo']",['tussmørke']
i58996,nb,ski,['narrow wood or metal or plastic runners used in pairs for gliding over snow'],['ski'],['sci'],['tabla de esquí'],['ski']
i85815,nb,mountain,['a land mass that projects well above its surroundings; higher than a hill'],"['mountain', 'mount']","['monte', 'montagna']","['montaña', 'monte']",['fjell']
i86414,nb,waterfall,['a steep descent of the water of a river'],"['falls', 'waterfall']","['cascata', 'cataratta']",['cascada'],"['fall', 'foss']"
i86562,nb,nature,['a causal agent creating and controlling things in the universe'],['nature'],['natura'],['naturaleza'],['natur']
